COHORTE;PERÍODO ACADÉMICO CURSA;SEDE;CAMPUS;CARRERA;ÁREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2016 - 2017;2017 - 2018;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;31
2016 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;79
2016 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;31
2016 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;24
2016 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;58
2016 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;ELECTRÓNICA Y AUTOMATIZACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;29
2016 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;MECATRÓNICA;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;90
2016 - 2017;2017 - 2018;MATRIZ CUENCA;EL VECINO;TELECOMUNICACIONES;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;17
2016 - 2017;2017 - 2018;QUITO;EL GIRÓN;EDUCACIÓN;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;10
2016 - 2017;2017 - 2018;QUITO;EL GIRÓN;EDUCACIÓN BÁSICA;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;29
2016 - 2017;2017 - 2018;QUITO;EL GIRÓN;EDUCACIÓN INICIAL;EDUCACION;PRESENCIAL;NUEVA O REDISEÑO;41
2016 - 2017;2017 - 2018;QUITO;SUR;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;84
2016 - 2017;2017 - 2018;QUITO;SUR;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;61
2016 - 2017;2017 - 2018;QUITO;SUR;INGENIERÍA CIVIL;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;102
2016 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;COMPUTACIÓN;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;42
2016 - 2017;2018 - 2018;GUAYAQUIL;CENTENARIO;ELECTRICIDAD;CIENCIA Y TECNOLOGÍA;PRESENCIAL;NUEVA O REDISEÑO;29
